Player,Nation,Pos,Age,PrgC,PrgP,PrgR,G+A,xG+xAG,Min,Squad,isBarca
Yacine Adli,fr FRA,MF,24.0,24,103,30,10,0.25,1234,Fiorentina,0
Adrián,es ESP,GK,38.0,0,0,0,0,0.0,1710,Betis,0
Julen Agirrezabala,es ESP,GK,24.0,0,0,0,0,0.0,1206,Athletic Club,0
Lucien Agoume,fr FRA,MF,23.0,29,135,23,4,0.14,2114,Sevilla,0
Alisson,br BRA,GK,32.0,0,1,0,0,0.02,2508,Liverpool,0
Sergi Altimira,es ESP,MF,23.0,25,99,30,1,0.16,1972,Betis,0
Mauro Arambarri,uy URU,MF,29.0,17,75,55,10,0.3,2661,Getafe,0
Kristjan Asllani,al ALB,MF,23.0,7,55,20,4,0.39,988,Inter,0
Nicolò Barella,it ITA,MF,28.0,63,235,133,9,0.24,2493,Inter,0
Enzo Barrenechea,ar ARG,MF,24.0,21,126,16,3,0.09,2191,Valencia,0
Jude Bellingham,eng ENG,MF,21.0,74,199,143,17,0.55,2488,Real Madrid,0
Ismaël Bennacer,dz ALG,MF,27.0,14,72,8,2,0.26,646,Marseille,0
Rodrigo Bentancur,uy URU,MF,27.0,28,100,34,2,0.1,1645,Tottenham,0
Lucas Bergvall,se SWE,MF,19.0,33,49,31,1,0.09,1212,Tottenham,0
Yves Bissouma,ml MLI,MF,28.0,15,75,3,2,0.06,1408,Tottenham,0
Julian Brandt,de GER,MF,29.0,61,149,199,15,0.52,2303,Dortmund,0
Hakan Çalhanoğlu,tr TUR,MF,31.0,52,173,51,11,0.46,1947,Inter,0
Johnny Cardoso,us USA,MF,23.0,19,71,28,4,0.12,2144,Betis,0
Casemiro,br BRA,MF,33.0,4,84,28,1,0.25,1494,Manchester Utd,0
Danilo Cataldi,it ITA,MF,30.0,18,90,16,3,0.1,1728,Fiorentina,0
Dani Ceballos,es ESP,MF,28.0,42,150,17,0,0.15,1215,Real Madrid,0
Santi Comesaña,es ESP,MF,28.0,39,154,58,6,0.23,2560,Villarreal,0
Diego Conde,es ESP,GK,26.0,0,0,0,1,0.01,1962,Villarreal,0
Samu Costa,pt POR,MF,24.0,24,116,69,2,0.1,2649,Mallorca,0
Thibaut Courtois,be BEL,GK,33.0,0,0,0,0,0.0,2700,Real Madrid,0
Bryan Cristante,it ITA,MF,30.0,25,145,41,6,0.15,2045,Roma,0
Michele Di Gregorio,it ITA,GK,27.0,0,0,0,0,0.01,2970,Juventus,0
Gianluigi Donnarumma,it ITA,GK,26.0,0,0,0,0,0.0,2091,Paris S-G,0
Martin Dúbravka,sk SVK,GK,36.0,0,0,0,0,0.0,900,Newcastle Utd,0
Ederson,br BRA,GK,31.0,0,2,0,4,0.06,2320,Manchester City,0
Christian Eriksen,dk DEN,MF,33.0,13,55,29,3,0.39,1061,Manchester Utd,0
Nicolò Fagioli,it ITA,MF,24.0,15,50,19,3,0.34,962,Fiorentina,0
João Félix,pt POR,MF,25.0,20,40,56,2,0.46,760,Milan,0
Bruno Fernandes,pt POR,MF,30.0,77,325,129,18,0.55,3018,Manchester Utd,0
Álvaro Fernández,es ESP,GK,27.0,0,0,0,0,0.02,747,Sevilla,0
Enzo Fernández,ar ARG,MF,24.0,60,212,126,13,0.39,2947,Chelsea,0
Youssouf Fofana,fr FRA,MF,26.0,44,176,32,7,0.17,2504,Milan,0
Fraser Forster,eng ENG,GK,37.0,0,0,0,0,0.0,630,Tottenham,0
Davide Frattesi,it ITA,MF,25.0,23,31,50,6,0.35,1225,Inter,0
Iñigo Ruiz de Galarreta,es ESP,MF,31.0,27,137,39,4,0.21,1477,Athletic Club,0
Aleix García,es ESP,MF,27.0,27,120,47,7,0.36,1455,Leverkusen,0
David de Gea,es ESP,GK,34.0,0,0,0,1,0.01,3150,Fiorentina,0
Billy Gilmour,sct SCO,MF,23.0,11,67,18,1,0.18,1177,Napoli,0
