Player,Squad,Pos,Age,Barca_Probability
Tammy Abraham,Milan,FW,27.0,0.95
Randal Kolo Muani,Juventus,FW,26.0,0.86
Darwin Núñez,Liverpool,FW,25.0,0.85
Diogo Jota,Liverpool,FW,28.0,0.79
Patrik Schick,Leverkusen,FW,29.0,0.71
Davide Frattesi,Inter,MF,25.0,0.69
Serhou Guirassy,Dortmund,FW,29.0,0.66
Felix Nmecha,Dortmund,MF,24.0,0.59
Saúl Ñíguez,Sevilla,MF,30.0,0.58
Lucas Bergvall,Tottenham,MF,19.0,0.49
Pablo Marín,Real Sociedad,MF,21.0,0.48
Hugo Duro,Valencia,FW,25.0,0.42
Enzo Barrenechea,Valencia,MF,24.0,0.36
Leandro Paredes,Roma,MF,30.0,0.34
Kingsley Coman,Bayern Munich,FW,28.0,0.33
Cyle Larin,Mallorca,FW,30.0,0.29
Omar Mascarell,Mallorca,MF,32.0,0.29
Aleksandar Pavlovic,Bayern Munich,MF,21.0,0.28
Yves Bissouma,Tottenham,MF,28.0,0.25
Billy Gilmour,Napoli,MF,23.0,0.25
José Luis García Vayá,Valencia,MF,26.0,0.23
Harry Kane,Bayern Munich,FW,31.0,0.23
Exequiel Palacios,Leverkusen,MF,26.0,0.23
Jude Bellingham,Real Madrid,MF,21.0,0.22
David Neres,Napoli,FW,28.0,0.21
Erling Haaland,Manchester City,FW,24.0,0.21
Niccolò Pisilli,Roma,MF,20.0,0.2
Casemiro,Manchester Utd,MF,33.0,0.18
Albert Sambi Lokonga,Sevilla,MF,25.0,0.16
Vedat Muriqi,Mallorca,FW,31.0,0.16
Kylian Mbappé,Real Madrid,FW,26.0,0.16
Manuel Ugarte Ribeiro,Manchester Utd,MF,24.0,0.15
Bradley Barcola,Paris S-G,FW,22.0,0.14
Isaac Romero,Sevilla,FW,25.0,0.13
Mohamed Salah,Liverpool,FW,32.0,0.13
Marcus Thuram,Inter,FW,27.0,0.13
Leroy Sané,Bayern Munich,FW,29.0,0.13
Mateo Kovačić,Manchester City,MF,31.0,0.12
Dani Ceballos,Real Madrid,MF,28.0,0.11
Adam Wharton,Crystal Palace,MF,20.0,0.11
Jamal Musiala,Bayern Munich,MF,22.0,0.11
Bryan Cristante,Roma,MF,30.0,0.1
Artem Dovbyk,Roma,FW,27.0,0.1
Brais Méndez,Real Sociedad,MF,28.0,0.09
Manu Morlanes,Mallorca,MF,26.0,0.09
Kobbie Mainoo,Manchester Utd,MF,20.0,0.09
Rodrigo Bentancur,Tottenham,MF,27.0,0.09
Jean-Philippe Mateta,Crystal Palace,FW,27.0,0.09
Ousmane Dembélé,Paris S-G,FW,28.0,0.08
James Maddison,Tottenham,MF,28.0,0.08
